Mensagem,Spam
"Promoção imperdível, compre agora e ganhe acesso VIP",1
"Desconto de 99% em smartphones, estoque limitado",1
Método comprovado para ganhar R$ 5.000 dormindo,1
"Por favor, revise a apresentação sobre RH",0
Lembrete: evento corporativo no dia 20,0
Você poderia me enviar as métricas do cliente Beta?,0
Você poderia me enviar as métricas do cliente Alpha?,0
Última chance para resgatar seu iPhone grátis,1
Ata da reunião de ontem sobre vendas,0
Você poderia me enviar as métricas do cliente Beta?,0
Alinhamento de metas para o cliente Gama,0
Alinhamento de metas para o cliente Beta,0
Invista pouco e tenha retorno garantido de 99%,1
Lembrete: evento corporativo no dia 15,0
Invista pouco e tenha retorno garantido de 90%,1
O pagamento da fatura de Abril foi recebido,0
Aumente sua renda em R$ 10.000 trabalhando de casa,1
Você foi sorteado! Resgate seu iPhone urgente,1
Você poderia me enviar as métricas do cliente Gama?,0
Segue o relatório financeiro de Abril para revisão,0
"Oferta especial só hoje, clique para ganhar frete grátis",1
"Desconto de 90% em smartphones, estoque limitado",1
Ata da reunião de ontem sobre operações,0
"Por favor, revise a apresentação sobre marketing",0
"Desconto de 50% em smartphones, estoque limitado",1
Alinhamento de metas para o cliente Gama,0
Atualização do cronograma de entregas de Fevereiro,0
"Ganhe R$ 1.000 fácil e rápido, clique aqui",1
Seu pedido do dia 15 foi faturado,0
Multiplique seu R$ 10.000 sem sair de casa,1
Seu pedido do dia 25 foi faturado,0
"Bom dia, podemos remarcar a nossa call para as 14h?",0
"Oferta especial só hoje, clique para ganhar frete grátis",1
"Bom dia, podemos remarcar a nossa call para as 11h?",0
Clique urgente para atualizar seus dados bancários,1
Aprovação do orçamento do mês de Abril,0
"Desconto de 50% em smartphones, estoque limitado",1
Ganhe um carro 0km grátis respondendo a esta pesquisa,1
"Por favor, revise a apresentação sobre vendas",0
Dúvida sobre a tarefa de RH,0
Onde está o arquivo PDF do cliente Omega?,0
Ata da reunião de ontem sobre tecnologia,0
Confirmação da sua reserva para o dia 25,0
Invista pouco e tenha retorno garantido de 70%,1
Alinhamento de metas para o cliente Omega,0
Dúvida sobre a tarefa de operações,0
Empréstimo de dólares pré-aprovado sem consulta,1
Segue o relatório financeiro de Abril para revisão,0
Você foi sorteado! Resgate seu iPhone urgente,1
Você poderia me enviar as métricas do cliente Beta?,0
Seu pedido do dia 20 foi faturado,0
Lembrete: evento corporativo no dia 30,0
Dúvida sobre a tarefa de vendas,0
Seu pedido do dia 20 foi faturado,0
Lembrete: evento corporativo no dia 20,0
"Oferta especial só hoje, clique para ganhar acesso VIP",1
Dúvida sobre a tarefa de marketing,0
Método comprovado para ganhar R$ 1.000 dormindo,1
Reunião de alinhamento do projeto às 15h,0
Aumente sua renda em R$ 10.000 trabalhando de casa,1
Invista pouco e tenha retorno garantido de 70%,1
Você foi sorteado! Resgate seu prêmio em dinheiro urgente,1
"Promoção imperdível, compre agora e ganhe acesso VIP",1
Ata da reunião de ontem sobre vendas,0
Você foi sorteado! Resgate seu carro 0km urgente,1
Invista pouco e tenha retorno garantido de 50%,1
Reunião de alinhamento do projeto às 16h,0
Empréstimo de R$ 5.000 pré-aprovado sem consulta,1
Método comprovado para ganhar R$ 1.000 dormindo,1
Compre 1 e leve 2 na nossa queima de estoque,1
Compre 1 e leve 2 na nossa queima de estoque,1
Segue o relatório financeiro de Abril para revisão,0
Você foi sorteado! Resgate seu vale-compras urgente,1
Alinhamento de metas para o cliente Alpha,0
"Oferta especial só hoje, clique para ganhar acesso VIP",1
Invista pouco e tenha retorno garantido de 90%,1
"Aviso importante: sua conta será bloqueada, clique aqui",1
"Bom dia, podemos remarcar a nossa call para as 16h?",0
Multiplique seu dólares sem sair de casa,1
"Ganhe dinheiro fácil e rápido, clique aqui",1
Multiplique seu R$ 1.000 sem sair de casa,1
Última chance para resgatar seu prêmio em dinheiro grátis,1
Reunião de alinhamento do projeto às 09h,0
Atualização do cronograma de entregas de Abril,0
"Bom dia, podemos remarcar a nossa call para as 16h?",0
"Ganhe dólares fácil e rápido, clique aqui",1
Lembrete: evento corporativo no dia 15,0
O pagamento da fatura de Janeiro foi recebido,0
O pagamento da fatura de Abril foi recebido,0
"Promoção imperdível, compre agora e ganhe bônus extra",1
"Desconto de 70% em smartphones, estoque limitado",1
Método comprovado para ganhar dinheiro dormindo,1
"Desconto de 90% em smartphones, estoque limitado",1
"Promoção imperdível, compre agora e ganhe um brinde exclusivo",1
O pagamento da fatura de Abril foi recebido,0
"Oferta especial só hoje, clique para ganhar bônus extra",1
"Desconto de 50% em smartphones, estoque limitado",1
Ata da reunião de ontem sobre RH,0
Última chance para resgatar seu prêmio em dinheiro grátis,1
Ganhe um vale-compras grátis respondendo a esta pesquisa,1
