Idade,Salario,Score_Credito,Limite_Aprovado
68,5133,533,2797.23
27,4621,706,4658.81
30,22716,786,11425.5
68,15653,940,10384.01
24,4957,433,2055.79
50,7403,986,8140.33
29,2970,652,3363.23
19,11671,924,7478.73
46,21029,961,12247.09
54,11746,494,5709.98
29,2719,839,3113.59
55,11235,622,6210.27
63,15142,594,8273.72
28,13878,985,9286.77
36,19660,354,7516.72
48,21447,459,8220.08
61,23522,517,10056.12
54,12248,669,5878.04
49,5083,585,3813.85
66,18268,621,9264.12
52,22679,433,8589.47
48,3893,956,5706.13
61,22991,405,8754.85
35,4018,721,2687.23
40,5297,912,4968.92
26,22574,937,11639.03
27,16157,871,8683.83
27,12105,715,7131.27
33,5215,396,3705.22
24,3773,848,4188.81
39,10635,978,8581.44
45,11436,492,4326.37
27,17697,638,7816.1
34,4259,783,5840.94
20,13138,890,8387.54
60,16446,786,9002.91
25,7606,810,5623.73
65,19336,345,6756.96
32,14937,740,9418.22
21,11562,927,8554.31
47,18331,728,7805.23
62,19686,704,9774.14
24,10810,460,4462.5
61,20941,891,10994.97
55,14412,797,7432.06
46,22166,379,7541.54
59,8363,961,5860.93
31,4358,561,2435.39
31,6917,492,2897.51
56,4484,697,4591.11
60,18368,476,7325.64
67,7529,679,4796.27
66,17189,823,9110.57
68,2637,847,5050.54
25,11284,824,7566.29
31,12338,448,5535.31
26,15071,911,9626.72
45,2360,320,1200.0
63,20214,826,10411.03
21,21928,696,9275.2
43,2283,313,1200.0
68,19515,316,5388.01
29,15397,410,4804.58
50,8959,731,6181.22
40,24798,441,8653.07
59,7446,661,4912.46
69,4550,867,6106.66
38,19134,324,6582.59
58,24296,520,9391.76
65,5144,928,5740.33
26,20181,593,8386.45
24,14540,929,9104.25
44,15149,724,7675.45
50,16837,327,5779.73
67,8871,392,3987.01
24,21174,426,7902.14
60,16485,902,9962.43
22,12685,490,4245.86
42,13851,545,6014.47
60,23589,831,10810.46
36,13598,346,4227.01
60,14774,789,8634.43
28,7807,362,1672.39
31,14227,883,8470.02
62,15096,906,9576.64
56,21188,414,7224.79
35,5240,454,2191.34
64,13074,942,9356.43
32,23359,868,11581.13
52,14705,958,9772.43
61,10038,471,4354.63
60,17286,815,8763.65
58,23916,599,10833.3
51,11848,828,6297.81
60,21089,330,7475.97
23,13211,380,5163.26
29,12792,338,2976.05
63,3707,332,2313.99
59,19122,365,7455.14
51,12199,968,8967.97
33,6244,443,2223.36
59,9044,881,7322.73
31,17556,886,10936.34
31,10578,344,4694.34
63,8277,990,7298.27
34,21047,424,7275.95
36,18302,821,10492.99
39,16970,924,9118.73
20,13752,924,8677.16
47,17716,388,7573.28
25,23878,949,12444.75
49,19163,596,8854.71
34,13272,711,7206.55
33,3819,477,1899.82
39,22798,879,11128.82
57,17758,470,6829.1
45,16901,382,6443.97
66,4664,958,6709.57
54,9994,990,8315.95
53,3271,818,3792.82
20,20584,869,10219.47
21,13338,513,6362.97
39,22802,960,12512.75
48,23769,828,11774.47
31,23016,841,10979.29
44,18656,819,9724.53
38,21651,919,11284.85
19,7103,694,3878.36
40,24662,987,13167.75
37,8824,875,8034.47
35,8311,839,6628.11
19,18626,375,7052.53
48,7818,904,6493.93
32,22019,763,9502.19
34,22621,358,8237.42
61,7665,395,2758.86
23,7585,771,5505.99
29,12157,422,5078.04
57,5579,787,6121.33
51,6385,916,5141.89
58,17640,513,5751.46
43,3552,466,2791.88
58,9001,720,5912.64
41,16608,310,5974.56
36,7432,503,2657.7
52,10666,595,4143.09
57,19292,628,8488.44
65,21063,948,12314.7
37,3820,714,3189.85
48,2112,663,3420.89
30,22753,377,8243.83
65,16640,652,7492.17
69,7177,638,4883.9
62,18800,632,7191.27
56,23744,504,9686.09
35,2800,653,3172.67
45,19867,719,9259.8
60,12897,828,8930.24
46,23043,548,8530.35
34,4574,826,4254.58
22,18592,643,7608.64
31,14859,525,6059.66
38,8556,304,2697.91
48,3454,920,4988.7
38,24014,370,9236.98
30,8732,519,4381.42
19,4117,770,4374.46
65,2630,694,3428.38
55,9835,555,4119.96
40,12186,885,6853.77
60,3624,337,1200.0
68,4582,478,1896.38
41,13465,484,6525.77
41,13571,930,7768.14
28,13429,613,5774.61
38,8023,699,6619.41
24,10802,959,7305.71
47,23277,484,8918.34
60,3538,651,3622.32
33,17907,739,9560.46
31,19173,495,8017.89
49,5703,759,4607.24
28,21736,342,8387.23
61,22221,363,7087.68
65,6001,364,3958.52
68,21162,337,7377.79
60,10463,764,8024.41
56,21850,550,9400.58
36,12954,344,4613.68
62,12045,854,8447.87
34,7869,799,5310.07
52,17824,814,9735.57
69,16756,674,7931.7
26,7810,722,4738.93
59,4905,639,3696.56
41,5011,948,6464.35
48,5038,962,6401.62
45,23721,618,10456.01
34,9676,425,3491.6
68,4322,615,2701.63
69,4441,515,3646.03
31,22403,906,11261.04
37,5260,622,5259.63
61,5260,829,6046.06
50,4446,552,3534.61
52,16401,337,5619.89
62,13300,771,9149.01
66,4936,534,3959.17
67,12453,700,8106.01
42,9476,755,4818.41
21,2708,787,4345.38
18,11669,618,5941.61
26,24154,467,9050.36
39,24360,508,9723.41
35,12119,668,6927.88
23,8251,812,4349.96
28,24347,404,7925.47
22,2903,764,3171.33
35,23487,703,8732.69
65,13197,710,7235.77
22,15516,868,7873.43
54,12909,841,8046.59
22,20700,362,8074.06
51,13761,737,8354.31
43,21758,698,9951.86
37,11573,455,4100.2
45,3134,815,3519.16
69,14758,420,6162.85
19,8515,710,4724.11
56,24186,300,8553.99
67,24027,835,12154.95
54,17942,387,7286.17
62,24511,643,10958.01
62,5199,922,6914.91
26,18727,830,9265.26
64,21466,751,10630.03
57,23390,697,10031.64
31,15669,846,10121.8
67,7858,910,7445.1
25,18244,524,6670.04
51,8973,514,3685.5
49,12221,772,7777.58
